"Reference","Value","Datasheet","Description","Extended","Manufacturer_Part_Number","Price","Qty"
"Battery-Charger1","TP4056","https://datasheet.lcsc.com/lcsc/1809261820_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","Battery Charger","0","TP4056-42-ESOP8","0.2064","1"
"Battery-Holder1","BH-18650-PC","","","0","","0.00","1"
"C1-C9","-- mixed values --","-- mixed values --","-- mixed values --","0","-- mixed values --","-- mixed values --","9"
"D1","BZT52C5V1_RH","","","","","","1"
"J1-J3","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","3"
"LED1, LED2","-- mixed values --","-- mixed values --","-- mixed values --","0","-- mixed values --","-- mixed values --","2"
"N-Mos1","AO3400A","https://datasheet.lcsc.com/lcsc/1811081213_Alpha---Omega-Semicon-AO3400A_C20917.pdf","30V N-Channel MOSFET","0","AO3400A","0.0864","1"
"Op-Amp1","MCP6002T-I_SN","https://datasheet.lcsc.com/lcsc/1811081213_Microchip-Tech-MCP6002T-I-SN--_C7377.pdf","Op-Amp","0","MCP6002T-I/SN","0.282","1"
"P-Mos1","AO3401A","https://datasheet.lcsc.com/lcsc/1810171817_Alpha---Omega-Semicon-AO3401A_C15127.pdf","30V P-Channel MOSFET","0","AO3401A","0.0797","1"
"R1-R29","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","29"
"TP1-TP12","TestPoint","~","","","","","12"
"U1-U4","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --","4"
"Voltage-Regulator-1, Voltage-Regulator-2","HT7533-1","https://datasheet.lcsc.com/lcsc/1811062113_Holtek-Semicon-HT7533-1_C14289.pdf","","0","HT7533-1","0.1315","2"
